file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/4[java.lang.Iterable<?>,java.lang.Iterable<?>,java.util.Deque<java.lang.Integer>,java.lang.Object]",false,50,3,3,2,1,1,1,3,0,0,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"failActualIterableIsNull/2[java.util.Deque<java.lang.Integer>,java.lang.Object]",false,145,2,6,1,5,1,5,3,0,0,2,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,10,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Namespace,append/1[java.lang.Object[]],false,703,2,1,0,1,1,5,8,1,1,1,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,25,1,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Namespace,hashCode/0,false,691,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Namespace,create/1[java.lang.Object[]],false,666,1,1,0,1,1,3,5,1,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,33,9,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Namespace,equals/1[java.lang.Object],false,679,1,0,0,0,4,2,10,3,1,1,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,10,1,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\ExtensionContext.java,org.junit.jupiter.api.extension.ExtensionContext$Namespace,Namespace/1[java.util.List<java.lang.Object>],true,674,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\TestInstances.java,org.junit.jupiter.api.extension.TestInstances,getInnermostInstance/0,false,33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\TestInstances.java,org.junit.jupiter.api.extension.TestInstances,findInstance/1[java.lang.Class<T>],false,59,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\extension\TestInstances.java,org.junit.jupiter.api.extension.TestInstances,getEnclosingInstances/0,false,42,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,true
