file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\collection\internal\StandardBagSemantics.java,org.hibernate.collection.internal.StandardBagSemantics,class,8,9,1,8,4,2,0,0,6,1.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,1,1,0,0,0,1,0,0,14,3,0,0,0,0,0,0,1,0,1,0,0,0,0,28,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\sql\ast\spi\SqlAliasStemHelper.java,org.hibernate.sql.ast.spi.SqlAliasStemHelper,class,2,3,1,2,5,1,0,9,3,1.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,1,0,0,0,1,0,4,20,3,0,0,0,0,3,3,4,2,3,1,0,0,0,33,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\internal\util\collections\IdentityMap.java,org.hibernate.internal.util.collections.IdentityMap$KeyIterator,innerclass,2,2,0,2,4,1,0,2,0,0.25,0.33333334,0.33333334,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,15,2,0,0,0,0,0,0,1,0,1,0,0,0,0,12,26,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\internal\log\LoggingHelper.java,org.hibernate.internal.log.LoggingHelper,class,7,8,1,7,15,1,0,12,24,0.75,0.04761905,0.04761905,8,8,7,1,0,0,7,0,0,0,2,2,2,0,0,0,2,0,8,49,11,0,7,0,0,2,0,3,0,3,1,0,0,0,39,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\boot\model\internal\ForeignKeyType.java,org.hibernate.boot.model.internal.ForeignKeyType,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\query\sqm\spi\SqmParameterMappingModelResolutionAccess.java,org.hibernate.query.sqm.spi.SqmParameterMappingModelResolutionAccess,interface,3,14,11,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\property\access\spi\EnhancedSetterMethodImpl.java,org.hibernate.property.access.spi.EnhancedSetterMethodImpl$SerialForm,innerclass,2,2,0,2,2,2,0,3,1,0.0,-1.0,-1.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\bytecode\internal\bytebuddy\HibernateMethodLookupDispatcher.java,org.hibernate.bytecode.internal.bytebuddy.HibernateMethodLookupDispatcher$StackWalkerGetCallerStackAction,innerclass,0,0,0,0,3,1,0,1,0,0.33333334,1.0,1.0,2,0,1,0,0,1,2,0,0,0,3,0,0,3,0,0,3,0,0,31,1,0,0,1,0,1,0,3,0,3,1,2,0,0,27,10,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\cache\spi\support\CollectionNonStrictReadWriteAccess.java,org.hibernate.cache.spi.support.CollectionNonStrictReadWriteAccess,class,10,11,1,10,3,3,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\dialect\DB2iDialect.java,org.hibernate.dialect.DB2iDialect,class,14,16,2,14,27,3,0,11,188,0.92499995,0.005263158,0.005263158,20,0,19,0,1,0,20,0,0,0,2,2,0,1,0,1,2,0,1,81,17,0,0,0,0,8,12,3,2,3,1,1,0,0,97,1,0
